아이템 타입,아바타 아이템,색상 명칭,아이템 기본 색상,Typename
Acc_Head,Acc_Head_0002,,,
Acc_Head,Acc_Head_0003,,,
Acc_Head,Acc_Head_0004,,,
Acc_Head,Acc_Head_0005,,,
Acc_Head,Acc_Head_0006,,,
Acc_Head,Acc_Head_0007,,,
Acc_Head,Acc_Head_0010,,,
Acc_Head,Acc_Head_0012,,,
Acc_Head,Acc_Head_0013,,,
Acc_Head,Acc_Head_0015,,,
Acc_Head,Acc_Head_0016,,,
Acc_Head,Acc_Head_0017,,,
Acc_Head,Acc_Head_0021,,,
Acc_Head,Acc_Head_0023,,,
Acc_Head,Acc_Head_0031,,,
Acc_Head,Acc_Head_0032,,,
Acc_Head,Acc_Head_0034,,,
Acc_Head,Acc_Head_0055,,,
Acc_Head,Acc_Head_0009,,,
Acc_Head,Acc_Head_0033,,,
Body_Head,Body_Head_0002,,,
Body_Head,Body_Head_0003,,,
Body_Head,Body_Head_0004,,,
Body_Head,Body_Head_0005,,,
Body_Head,Body_Head_0006,,,
Body_Face,Body_Face_0002,,,
Body_Face,Body_Face_0003,,,
Body_Face,Body_Face_0004,,,
Body_Face,Body_Face_0005,,,
Body_Face,Body_Face_0006,,,
Body_Face,Body_Face_0007,,,
Body_Face,Body_Face_0008,,,
Body_Face,Body_Face_0009,,,
Body_Face,Body_Face_0010,,,
Acc_Face_H,Acc_Face_H_0001,,,
Acc_Face_H,Acc_Face_H_0002,,,
Acc_Face_H,Acc_Face_H_0003,,,
Acc_Face_H,Acc_Face_H_0004,,,
Acc_Face_H,Acc_Face_H_0006,,,
Acc_Face_H,Acc_Face_H_0007,,,
Acc_Face_H,Acc_Face_H_0008,,,
Acc_Face_H,Acc_Face_H_0009,,,
Acc_Face_H,Acc_Face_H_0010,,,
Acc_Face_H,Acc_Face_H_0011,,,
Acc_Face_H,Acc_Face_H_0012,,,
Acc_Face_H,Acc_Face_H_0013,,,
Acc_Face_H,Acc_Face_H_0014,,,
Acc_Face_H,Acc_Face_H_0015,,,
Acc_Face_H,Acc_Face_H_0016,,,
Acc_Face_H,Acc_Face_H_0017,,,
Acc_Face_H,Acc_Face_H_0018,,,
Acc_Face_H,Acc_Face_H_0019,,,
Acc_Face_H,Acc_Face_H_0020,,,
Acc_Face_H,Acc_Face_H_0021,,,
Acc_Face_H,Acc_Face_H_0022,,,
Acc_Face_H,Acc_Face_H_0005,,,
Acc_Cloth_H,Acc_Cloth_H_0001,,,
Acc_Cloth_H,Acc_Cloth_H_0002,,,
Acc_Cloth_H,Acc_Cloth_H_0003,,,
Acc_Cloth_H,Acc_Cloth_H_0004,,,
Acc_Cloth_H,Acc_Cloth_H_0005,,,
Acc_Cloth_H,Acc_Cloth_H_0006,,,
Acc_Cloth_H,Acc_Cloth_H_0009,,,
Acc_Cloth_H,Acc_Cloth_H_0010,,,
Acc_Cloth_H,Acc_Cloth_H_0011,,,
Acc_Cloth_H,Acc_Cloth_H_0012,,,
Acc_Cloth_H,Acc_Cloth_H_0015,,,
Acc_Cloth_H,Acc_Cloth_H_0016,,,
Acc_Cloth_H,Acc_Cloth_H_0017,,,
Acc_Cloth_H,Acc_Cloth_H_0018,,,
Acc_Cloth_H,Acc_Cloth_H_0019,,,
Acc_Cloth_H,Acc_Cloth_H_0020,,,
Acc_Cloth_H,Acc_Cloth_H_0014,,,
Acc_Cloth_L,Acc_Cloth_L_0001,,,
Acc_Cloth_L,Acc_Cloth_L_0002,,,
Acc_Cloth_L,Acc_Cloth_L_0003,,,
Acc_Cloth_L,Acc_Cloth_L_0004,,,
Acc_Cloth_L,Acc_Cloth_L_0005,,,
Acc_Cloth_L,Acc_Cloth_L_0006,,,
Acc_Cloth_L,Acc_Cloth_L_0009,,,
Acc_Cloth_L,Acc_Cloth_L_0010,,,
Acc_Cloth_L,Acc_Cloth_L_0011,,,
Acc_Cloth_L,Acc_Cloth_L_0012,,,
Acc_Cloth_L,Acc_Cloth_L_0015,,,
Acc_Cloth_L,Acc_Cloth_L_0016,,,
Acc_Cloth_L,Acc_Cloth_L_0017,,,
Acc_Cloth_L,Acc_Cloth_L_0018,,,
Acc_Cloth_L,Acc_Cloth_L_0019,,,
Acc_Cloth_L,Acc_Cloth_L_0020,,,
Acc_Cloth_L,Acc_Cloth_L_0014,,,
Acc_Set,Acc_Set_0001,,,
Acc_Set,Acc_Set_0002,,,
Acc_Set,Acc_Set_0003,,,
Acc_Set,Acc_Set_0004,,,
Acc_Set,Acc_Set_0005,,,
Acc_Set,Acc_Set_0006,,,
Acc_Set,Acc_Set_0009,,,
Acc_Set,Acc_Set_0010,,,
Acc_Set,Acc_Set_0014,,,
Acc_Set,Acc_Set_0015,,,
Acc_Set,Acc_Set_0018,,,
Acc_Set,Acc_Set_0019,,,
Acc_Shoes,Acc_Shoes_0001,,,
Acc_Shoes,Acc_Shoes_0002,,,
Acc_Shoes,Acc_Shoes_0003,,,
Acc_Shoes,Acc_Shoes_0005,,,
Acc_Shoes,Acc_Shoes_0006,,,
Acc_Shoes,Acc_Shoes_0007,,,
Acc_Shoes,Acc_Shoes_0008,,,
Acc_Shoes,Acc_Shoes_0009,,,
Acc_Shoes,Acc_Shoes_0010,,,
Acc_Shoes,Acc_Shoes_0011,,,
Acc_Shoes,Acc_Shoes_0012,,,
Acc_Shoes,Acc_Shoes_0013,,,
Acc_Shoes,Acc_Shoes_0014,,,
Acc_Shoes,Acc_Shoes_0017,,,
Acc_Shoes,Acc_Shoes_0027,,,
Acc_Shoes,Acc_Shoes_0004,,,
Acc_Shoes,Acc_Shoes_0028,,,
Acc_Shoes,Acc_Shoes_0029,,,
Acc_Shoes,Acc_Shoes_0031,,,
Acc_Shoes,Acc_Shoes_0030,,,
Acc_Back,Acc_Back_0001,,,
Acc_Back,Acc_Back_0002,,,
Acc_Back,Acc_Back_0003,,,
Acc_Back,Acc_Back_0004,,,
Acc_Back,Acc_Back_0005,,,
Acc_Back,Acc_Back_0008,,,
Acc_Back,Acc_Back_0009,,,
Acc_Face_L,Acc_Face_L_0001,,,
Acc_Face_L,Acc_Face_L_0002,,,
Acc_Face_L,Acc_Face_L_0003,,,
Acc_Face_L,Acc_Face_L_0004,,,
Acc_Face_L,Acc_Face_L_0005,,,
Acc_Face_L,Acc_Face_L_0006,,,
Acc_Face_L,Acc_Face_L_0007,,,
Acc_Face_L,Acc_Face_L_0008,,,
Acc_Face_L,Acc_Face_L_0009,,,
Acc_Face_L,Acc_Face_L_0010,,,
Acc_Face_L,Acc_Face_L_0011,,,
Acc_Face_L,Acc_Face_L_0012,,,
Acc_Face_L,Acc_Face_L_0013,,,
Acc_Gloves,Acc_Gloves_0001,,,
